,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,Tsahim_hayg,x,y,xy,lat_lon
56,72,Мандах Их сургууль,0,3,23,,,11899105.83105566,6093093.41796703,"11899105.83105566,6093093.41796703","(47.91721514228809, 106.89148635393019)"
57,73,,,7,103,,,11902093.269053524,6094509.29961416,"11902093.269053524,6094509.29961416","(47.925738814797974, 106.91832296606859)"
58,74,,,4,35,,,11906256.431170268,6093174.835212741,"11906256.431170268,6093174.835212741","(47.917705315901934, 106.95572128766598)"
59,75,,,4,35,,,11906768.772444166,6093107.50560738,"11906768.772444166,6093107.50560738","(47.91729995744701, 106.96032372763625)"
60,76,,,4,35,,,11906890.388459614,6093090.782046396,"11906890.388459614,6093090.782046396","(47.91719927261515, 106.96141622289096)"
61,77,,,4,35,,,11906487.672128823,6093657.742542551,"11906487.672128823,6093657.742542551","(47.920612570465124, 106.95779856053983)"
62,78,,,4,31,,,11903526.503664805,6093316.54234712,"11903526.503664805,6093316.54234712","(47.91855845451938, 106.93119793163902)"
63,79,,,4,31,,,11904534.516858678,6094348.442136297,"11904534.516858678,6094348.442136297","(47.9247705161111, 106.94025306822552)"
64,80,Залуус хотхон Барилгын коллеж,460352,4,32,,baysaa1199@gmail.com,11905076.813536039,6095037.9956774665,"11905076.813536039,6095037.9956774665","(47.9289212292539, 106.94512460216353)"
65,81,Залуус хотхон Оточ маарамба,460352,4,32,,baysaa1199@gmail.com,11904550.114573458,6095067.854000943,"11904550.114573458,6095067.854000943","(47.92910095155263, 106.94039318488137)"
66,82,,,4,43,,,11907667.416582879,6092817.372686506,"11907667.416582879,6092817.372686506","(47.91555317342994, 106.96839638528417)"
67,83,,,4,43,,,11908324.9259608,6092617.140520291,"11908324.9259608,6092617.140520291","(47.91434761452526, 106.97430289252054)"
